userId,movieId,rating,pred_rating
1,31,2.5,1.89
1,1029,3.0,2.38
1,1061,3.0,2.48
1,1263,2.0,2.13
1,1287,2.0,2.56
1,1293,2.0,2.94
1,1339,3.5,2.66
1,1343,2.0,2.18
1,1371,2.5,1.9
1,1405,1.0,1.85
1,1953,4.0,3.09
1,2193,2.0,2.61
1,2294,2.0,2.06
1,2455,2.5,2.3
1,2968,1.0,1.76
7,1,3.0,3.94
7,10,3.0,2.79
7,21,3.0,3.49
7,31,3.0,2.94
7,34,4.0,3.38
7,40,4.0,3.93
7,104,3.0,2.52
7,110,5.0,3.75
7,141,4.0,3.02
7,151,4.0,3.36
7,198,2.0,3.24
7,207,3.0,2.81
7,260,5.0,4.34
7,272,3.0,4.09
7,316,2.0,2.67
7,318,5.0,4.25
7,329,3.0,3.04
7,333,3.0,2.85
7,345,3.0,3.05
7,355,3.0,1.79
7,356,3.0,3.76
7,357,3.0,3.36
7,364,3.0,3.66
7,367,3.0,2.4
7,380,4.0,2.96
7,480,4.0,3.62
7,500,3.0,3.0
7,534,4.0,3.92
7,539,3.0,2.91
7,551,4.0,3.32
7,588,4.0,3.47
7,589,3.0,3.86
7,590,4.0,3.82
7,592,3.0,3.02
7,594,4.0,3.78
7,595,3.0,3.54
7,610,3.0,2.92
7,671,4.0,3.57
7,708,3.0,2.77
7,724,2.0,2.21
7,736,1.0,2.56
7,737,1.0,1.22
7,745,5.0,4.11
7,780,3.0,2.74
7,786,2.0,2.44
7,924,4.0,4.1
7,1036,3.0,3.73
7,1073,3.0,3.83
7,1079,4.0,3.87
7,1080,4.0,3.79
7,1097,3.0,3.74
7,1125,3.0,3.08
7,1129,3.0,3.08
7,1136,4.0,4.1
7,1148,5.0,4.16
7,1196,5.0,4.26
7,1197,3.0,3.97
7,1198,5.0,4.17
7,1210,5.0,4.03
7,1220,4.0,3.59
7,1223,5.0,4.0
7,1231,4.0,3.92
7,1240,4.0,4.0
7,1242,5.0,3.82
7,1270,3.0,3.85
7,1275,4.0,3.33
7,1278,3.0,3.93
7,1287,4.0,3.95
7,1288,4.0,3.98
7,1291,3.0,3.69
7,1298,3.0,3.81
7,1302,4.0,3.34
7,1307,3.0,3.88
7,1353,3.0,2.47
7,1371,3.0,3.24
7,1372,3.0,2.92
7,1373,2.0,1.93
7,1374,4.0,3.53
7,1375,3.0,2.75
7,1376,3.0,3.04
7,1394,3.0,3.65
7,1408,1.0,3.37
31,31,4.0,3.8
31,32,4.5,4.2
31,50,3.5,4.58
31,111,4.5,4.05
31,260,4.0,4.65
31,296,4.5,4.36
31,318,4.0,4.78
31,372,3.5,3.39
31,379,4.0,3.38
31,527,5.0,4.44
31,541,4.0,4.18
31,778,3.5,4.09
31,858,4.5,4.57
31,904,4.0,4.33
31,1089,4.5,4.25
31,1091,3.0,3.15
31,1186,2.0,3.24
31,1197,4.5,4.5
31,1206,4.5,3.86
31,1221,4.5,4.55
31,1234,4.5,4.02
31,1299,4.0,4.17
31,1378,4.0,4.08
31,1416,3.0,3.48
31,1957,4.5,4.36
31,2028,4.5,4.43
31,2248,4.0,3.96
31,2329,4.5,4.43
31,2502,4.0,4.14
31,2692,4.5,4.36
31,2959,5.0,4.5
31,2997,4.5,4.05
31,3072,3.0,3.52
31,3087,3.5,3.67
31,3755,4.0,3.28
31,3897,4.0,4.19
31,3911,4.0,3.75
31,4886,4.0,4.3
31,4979,3.5,3.79
31,4993,4.5,4.66
31,5418,4.5,4.27
31,5952,4.5,4.59
31,5995,3.5,4.42
31,6539,3.5,4.34
31,6711,4.5,3.85
31,7153,4.5,4.62
31,7361,5.0,4.24
31,8961,4.0,4.27
31,33154,4.0,3.64
31,44191,4.0,4.46
31,44195,4.0,4.42
31,48394,4.5,4.05
31,50872,4.5,4.18
31,54503,4.0,4.16
31,55280,4.5,4.14
31,55820,4.0,4.14
31,58559,5.0,4.63
31,59315,5.0,4.43
31,64614,4.5,4.41
31,72226,4.0,4.06
31,72998,4.0,4.15
31,74789,4.5,3.63
31,76093,3.5,4.46
31,76251,5.0,4.28
32,19,3.0,3.28
32,31,4.0,3.88
